D.Harris,DAL,WR,1,1,0,9,0,0,0,0,0,1,0,0,56
D.Murray,DAL,RB,1,22,1,118,1,0,0,0,0,3,0,0,25
D.Street,DAL,WR,1,0,0,0,0,0,0,0,0,2,0,0,18
C.Beasley,DAL,WR,1,0,0,0,0,0,0,0,0,4,0,0,42
L.Dunbar,DAL,RB,1,0,0,0,0,0,0,0,0,3,0,0,21
T.Williams,DAL,WR,1,0,0,0,0,0,0,0,0,4,0,1,50
D.Bryant,DAL,WR,1,0,0,0,0,0,0,0,0,4,0,0,55
J.Witten,DAL,TE,1,0,0,0,0,0,0,0,0,2,0,0,14
C.Kaepernick,SF,QB,1,5,0,11,0,23,0,2,201,0,0,0,0
L.James,SF,RB,1,2,0,0,0,0,0,0,0,0,0,0,0
F.Gore,SF,RB,1,16,0,63,0,0,0,0,0,0,0,0,0
C.Hyde,SF,RB,1,7,1,50,0,0,0,0,0,0,0,0,0
A.Boldin,SF,WR,1,0,0,0,0,0,0,0,0,8,0,0,99
V.Davis,SF,TE,1,0,0,0,0,0,0,0,0,4,0,2,44
S.Johnson,SF,WR,1,0,0,0,0,0,0,0,0,2,0,0,33
M.Crabtree,SF,WR,1,0,0,0,0,0,0,0,0,2,0,0,25
B.Ellington,SF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0
J.McCown,TB,QB,1,3,0,27,0,35,0,2,183,0,0,0,0
D.Martin,TB,RB,1,9,0,9,0,0,0,0,0,1,0,0,7
B.Rainey,TB,RB,1,4,0,12,1,0,0,0,0,2,0,1,8
M.Evans,TB,WR,1,0,0,0,0,0,0,0,0,5,0,0,37
A.Seferian-Jenkins,TB,TE,1,0,0,0,0,0,0,0,0,1,0,0,26
L.Stocker,TB,TE,1,0,0,0,0,0,0,0,0,1,0,0,8
C.Owusu,TB,WR,1,0,0,0,0,0,0,0,0,2,0,1,20
B.Myers,TB,TE,1,0,0,0,0,0,0,0,0,6,0,0,41
V.Jackson,TB,WR,1,0,0,0,0,0,0,0,0,4,0,0,36
S.Patton,TB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0
D.Anderson,CAR,QB,1,3,0,10,0,34,0,2,230,0,0,0,0
J.Stewart,CAR,RB,1,9,0,20,0,0,0,0,0,3,0,0,17
D.Williams,CAR,RB,1,14,0,72,0,0,0,0,0,0,0,0,0
K.Benjamin,CAR,WR,1,0,0,0,0,0,0,0,0,6,0,1,92
G.Olsen,CAR,TE,1,0,0,0,0,0,0,0,0,8,0,1,83
J.Cotchery,CAR,WR,1,0,0,0,0,0,0,0,0,4,0,0,32
J.Avant,CAR,WR,1,0,0,0,0,0,0,0,0,1,0,0,0
Philly,CAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0
P.Manning,DEN,QB,1,4,0,-3,0,36,0,3,269,0,0,0,0
E.Sanders,DEN,WR,1,1,0,11,0,0,0,0,0,6,0,0,77
M.Ball,DEN,RB,1,23,1,67,0,0,0,0,0,2,0,0,16
C.Anderson,DEN,RB,1,4,0,27,0,0,0,0,0,0,0,0,0
V.Green,DEN,TE,1,0,0,0,0,0,0,0,0,1,0,0,8
